site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,condition,hiding_location,pick,correct,researcher,life_expectancy,norm_age
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,2,3,18,long,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,1,19,long,1,2,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,1,20,long,2,2,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,1,21,long,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,2,22,medium,1,1,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,2,23,medium,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,2,24,medium,2,2,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,3,25,short,1,1,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,3,26,short,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,3,3,27,short,2,2,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,1,28,long,1,2,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,1,29,long,3,1,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,1,30,long,2,3,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,2,31,short,1,2,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,2,32,short,3,3,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,2,33,short,2,2,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,3,34,medium,2,2,1,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,3,35,medium,1,2,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,reuben_edi,8,11,yes,60,single,4,3,36,medium,3,2,0,voelter,46,-0.7992384912815951
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,1,1,long,1,2,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,1,2,long,2,2,1,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,1,3,long,3,2,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,2,4,short,3,3,1,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,2,5,short,2,2,1,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,2,6,short,1,3,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,3,7,medium,1,3,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,3,8,medium,2,3,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,1,3,9,medium,3,1,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,1,10,long,3,1,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,1,11,long,2,1,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,1,12,long,1,3,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,2,13,medium,2,1,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,2,14,medium,3,3,1,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,2,15,medium,1,1,1,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,3,16,short,1,1,1,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,3,17,short,2,3,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,anita_edi,20,11,yes,60,single,2,3,18,short,3,2,0,voelter,46,0.6394400474024345
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,1,1,medium,2,1,0,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,1,2,medium,3,2,0,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,1,3,medium,1,2,0,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,2,4,long,1,1,1,voelter,46,-0.31967897838691856
edinburgh,brown_capuchin_monkey,penelope_edi,12,11,yes,60,single,1,2,5,long,2,1,0,voelter,46,-0.31967897838691856
